City,Category,Year,Degree,Closeness,Betweenness,Eigenvector,SourceFile,Score_Equal,Score_Corr,Score_Category
Karachi,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Larkana,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Rawalpindi,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Fruits_Vegetables,2023,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Gujranwala,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Karachi,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Larkana,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Rawalpindi,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Fruits_Vegetables,2024,1.0,1.0,0.0,0.2425356250363329,Fruits_Vegetables_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Gujranwala,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Karachi,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Meat_Poultry_Dairy,2023,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
